District Code,SchoolCode,FAFSA SchoolName,ERDC SchoolTTL,FAFSA District,ERDC DistrictTTL,Horizons Partner,District,School,Students,Unmatched,Errors,NoSignature,Completed,School District Name,Year,Percent
05401,3422,Clallam Bay High & Elementary,Clallam Bay High School/Elementary,Cape Flattery School District,Cape Flattery,West Sound STEM,Cape Flattery School District,Clallam Bay High & Elementary,10,0,0,0,7,Cape Flattery School District,2016-17,0.714
05401,3422,Clallam Bay High & Elementary,Clallam Bay High School/Elementary,Cape Flattery School District,Cape Flattery,West Sound STEM,Cape Flattery School District,Clallam Bay High & Elementary,10,0,0,0,6,Cape Flattery School District,2020-21,0.571
05401,3422,Clallam Bay High & Elementary,Clallam Bay High School/Elementary,Cape Flattery School District,Cape Flattery,West Sound STEM,Cape Flattery School District,Clallam Bay High & Elementary,10,0,0,0,7,Cape Flattery School District,2018-19,0.69
05401,3422,Clallam Bay High & Elementary,Clallam Bay High School/Elementary,Cape Flattery School District,Cape Flattery,West Sound STEM,Cape Flattery School District,Clallam Bay High & Elementary,0,0,0,0,0,Cape Flattery School District,2015-16,0
05401,3422,Clallam Bay High & Elementary,Clallam Bay High School/Elementary,Cape Flattery School District,Cape Flattery,West Sound STEM,Cape Flattery School District,Clallam Bay High & Elementary,11,0,0,0,11,Cape Flattery School District,2014-15,1
05401,3422,Clallam Bay High & Elementary,Clallam Bay High School/Elementary,Cape Flattery School District,Cape Flattery,West Sound STEM,Cape Flattery School District,Clallam Bay High & Elementary,0,0,0,0,0,Cape Flattery School District,2022-23,0
36250,5362,College Place High School,College Place High School,College Place School District,College Place,United Way of the Blue Mountains,College Place School District,College Place High School,109,58,0,0,47,College Place School District,2020-21,0.435
36250,5362,College Place High School,College Place High School,College Place School District,College Place,United Way of the Blue Mountains,College Place School District,College Place High School,0,0,0,0,,College Place School District,2016-17,
36250,5362,College Place High School,College Place High School,College Place School District,College Place,United Way of the Blue Mountains,College Place School District,College Place High School,121,55,0,0,63,College Place School District,2021-22,0.524
36250,5362,College Place High School,College Place High School,College Place School District,College Place,United Way of the Blue Mountains,College Place School District,College Place High School,96,33,0,0,61,College Place School District,2017-18,0.636
36250,5362,College Place High School,College Place High School,College Place School District,College Place,United Way of the Blue Mountains,College Place School District,College Place High School,90,31,0,0,59,College Place School District,2018-19,0.656
36250,5362,College Place High School,College Place High School,College Place School District,College Place,United Way of the Blue Mountains,College Place School District,College Place High School,111,55,0,0,51,College Place School District,2019-20,0.456
36250,5362,College Place High School,College Place High School,College Place School District,College Place,United Way of the Blue Mountains,College Place School District,College Place High School,62,23,0,0,39,College Place School District,2014-15,0.629032258
36250,5362,College Place High School,College Place High School,College Place School District,College Place,United Way of the Blue Mountains,College Place School District,College Place High School,0,0,0,0,0,College Place School District,2015-16,0
36250,5362,College Place High School,College Place High School,College Place School District,College Place,United Way of the Blue Mountains,College Place School District,College Place High School,99,39,0,0,60,College Place School District,2022-23,0.606060606
20405,2330,Columbia High School,Columbia High School (White Salmon Valley),White Salmon Valley School District,White Salmon Valley,ESD 112,White Salmon Valley School District,Columbia High School,98,47,0,0,43,White Salmon Valley School District,2017-18,0.44
20405,2330,Columbia High School,Columbia High School (White Salmon Valley),White Salmon Valley School District,White Salmon Valley,ESD 112,White Salmon Valley School District,Columbia High School,86,32,0,0,48,White Salmon Valley School District,2018-19,0.554
20405,2330,Columbia High School,Columbia High School (White Salmon Valley),White Salmon Valley School District,White Salmon Valley,ESD 112,White Salmon Valley School District,Columbia High School,90,44,0,0,43,White Salmon Valley School District,2019-20,0.475
20405,2330,Columbia High School,Columbia High School (White Salmon Valley),White Salmon Valley School District,White Salmon Valley,ESD 112,White Salmon Valley School District,Columbia High School,68,25,0,0,38,White Salmon Valley School District,2016-17,0.558
20405,2330,Columbia High School,Columbia High School (White Salmon Valley),White Salmon Valley School District,White Salmon Valley,ESD 112,White Salmon Valley School District,Columbia High School,77,38,0,0,34,White Salmon Valley School District,2020-21,0.442
20405,2330,Columbia High School,Columbia High School (White Salmon Valley),White Salmon Valley School District,White Salmon Valley,ESD 112,White Salmon Valley School District,Columbia High School,84,51,0,0,31,White Salmon Valley School District,2021-22,0.368
20405,2330,Columbia High School,Columbia High School (White Salmon Valley),White Salmon Valley School District,White Salmon Valley,ESD 112,White Salmon Valley School District,Columbia High School,65,36,0,0,29,White Salmon Valley School District,2022-23,0.446153846
20405,2330,Columbia High School,Columbia High School (White Salmon Valley),White Salmon Valley School District,White Salmon Valley,ESD 112,White Salmon Valley School District,Columbia High School,70,28,0,0,42,White Salmon Valley School District,2015-16,0.6
